Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
CAH69530.1	AJ854182	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
YP_001707429.1	NC_010400	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAX51234.1	AY949203	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAX51233.1	AY949202	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAW81358.1	AY862132	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABV71246.1	EU019534	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABV71247.1	EU019535	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABV71248.1	EU019536	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABC26007.1	DQ309277	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABC26006.1	DQ309276	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAP69916.1	AY227054	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAZ78361.1	DQ149247	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABC84263.1	DQ348075	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABD48715.1	DQ392963	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABE03012.1	DQ445683	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
AAA98406.1	M55547	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAJ77809.1	AM231719	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABF47914.1	DQ519086	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABC61637.1	DQ335566	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABF47916.1	DQ519087	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABF47917.1	DQ519088	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABF47918.1	DQ519089	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABF47919.1	DQ519090	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABO33299.1	EF102240	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAK50801.1	AM279652	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
ABI53716.1	DQ888718	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation
CAA82916.1	Z30177	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAI43413.1	AJ871865	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AAL78275.1	AY077482	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AAL78276.1	AY077483	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAB42615.1	Y17715	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAI43414.1	AJ871866	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
ACV44456.1	FJ785626	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AAL79541.1	AF473577	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AAL78281.2	AY077488	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAB42614.1	Y17714	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAG34107.1	AJ746227	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AAL78278.2	AY077485	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAA88908.1	Z49084	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AAL17873.1	AY055205	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
ACV44455.1	FJ785625	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AAN28732.1	AF491278	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
AAL78161.1	AY077481	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAI43417.1	AJ871869	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAI43419.1	AJ871871	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAI43422.1	AJ871874	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAI43423.1	AJ871875	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAI43424.1	AJ871876	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
CAI43425.1	AJ871877	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation
NP_417544.5	NC_000913.3	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
NP_358969.1	NC_003098.1	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ABX30738.1	CP000732.1	blaZ beta-lactamase	penam	antibiotic inactivation
ACQ82807.1	FJ666065	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
ACQ82815.1	FJ666073	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
ACQ82806.1	FJ666064	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
ACQ82808.1	FJ666066	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
ACQ82809.1	FJ666067	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
ACQ82810.1	FJ666068	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
ACQ82811.1	FJ666069	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
ACQ82812.1	FJ666070	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18013.1	KR057742.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18014.1	KR057743.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18015.1	KR057744.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18016.1	KR057745.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18017.1	KR057746.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18018.1	KR057747.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18019.1	KR057748.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
ACQ82813.1	FJ666071	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18020.1	KR057749.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18021.1	KR057750.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18022.1	KR057751.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18023.1	KR057752.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18024.1	KR057753.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18025.1	KR057754.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18026.1	KR057755.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18027.1	KR057756.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18028.1	KR057757.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18029.1	KR057758.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
ACQ82814.1	FJ666072	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18030.1	KR057759.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18031.1	KR057760.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18032.1	KR057761.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AKR18033.1	KR057762.1	PDC beta-lactamase	monobactam;carbapenem;cephalosporin	antibiotic inactivation
AJP77059	KP109677	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
AJP77071	KP109678	subclass B3 PEDO beta-lactamase	carbapenem	antibiotic inactivation
AJP77076	KP109679	subclass B1 PEDO beta-lactamase	carbapenem	antibiotic inactivation
CAA79968.1	Z21957.1	PER beta-lactamase	monobactam;carbapenem;cephalosporin;penam;penem	antibiotic inactivation
CAA63714.1	X93314	PER beta-lactamase	monobactam;carbapenem;cephalosporin;penam;penem	antibiotic inactivation
AAU89132.1	AY740681	PER beta-lactamase	monobactam;carbapenem;cephalosporin;penam;penem	antibiotic inactivation
ACE77058.1	EU748544	PER beta-lactamase	monobactam;carbapenem;cephalosporin;penam;penem	antibiotic inactivation
ACN22483.1	FJ627180	PER beta-lactamase	monobactam;carbapenem;cephalosporin;penam;penem	antibiotic inactivation
ADD80743.1	GQ396303	PER beta-lactamase	monobactam;carbapenem;cephalosporin;penam;penem	antibiotic inactivation
AEI54993.1	HQ713678	PER beta-lactamase	monobactam;carbapenem;cephalosporin;penam;penem	antibiotic inactivation
BAG33043.1	AP009380.1	lipid A phosphatase	peptide antibiotic	antibiotic target alteration
AAB39605.1	U67308.1	elfamycin resistant EF-Tu	elfamycin antibiotic	antibiotic target alteration
BAA03718.1	D16171	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
NP_250052.1	NC_002516.2	multidrug and toxic compound extrusion (MATE) transporter	N/A	antibiotic efflux
NP_358469.1	NC_003098.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
BAE78116.1	AP009048	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AAC75089.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AAC75314.1	U00096	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
APB87301	KY086517	General Bacterial Porin with reduced permeability to beta-lactams	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic
BAA07072.1	D37826	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
WP_002530866.1	NC_006085.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
SIP52035.1	LT673656.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;monobactam;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;peptide antibiotic;aminocoumarin antibiotic;diaminopyrimidine antibiotic;sulfonamide antibiotic;phenicol antibiotic;penem	antibiotic efflux
NP_253677.1	NC_002516.2	small multidrug resistance (SMR) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
BAA37152.1	AB003428.1	fluoroquinolone resistant parC;fluoroquinolone resistant gyrA;fluoroquinolone self resistant parC	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
NP_251858.1	NC_002516.2	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic;nybomycin	antibiotic target alteration
NP_249649.1	NC_002516.2	Outer Membrane Porin (Opr)	monobactam;carbapenem;cephalosporin;cephamycin;penam;penem	reduced permeability to antibiotic
NP_253654.1	NC_002516.2	fluoroquinolone resistant parE	fluoroquinolone antibiotic	antibiotic target alteration
NP_250963.1	NC_002516.2	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;acridine dye;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic target alteration;antibiotic efflux
NP_249870.1	NC_002516.2	ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase	macrolide antibiotic;peptide antibiotic	antibiotic target alteration;antibiotic efflux
NP_249871.1	NC_002516.2	ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase	macrolide antibiotic;peptide antibiotic	antibiotic target alteration;antibiotic efflux
AAM15533.1	AF482691.2	phenotypic variant regulator	aminoglycoside antibiotic	resistance by absence
BAJ09383.1	AB566411	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
AAQ10694.1	AF535087	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
AAZ42322.1	DQ149925.1	small multidrug resistance (SMR) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
AEZ36150.1	JQ064560	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
WP_032492277.1	NG_050460.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
AEZ36150.1	JQ064560.1	major facilitator superfamily (MFS) antibiotic efflux pump	N/A	antibiotic efflux
AQX36338.1	KX686116.1	major facilitator superfamily (MFS) antibiotic efflux pump	N/A	antibiotic efflux
ABI50486.1	DQ831141	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ADU33193.1	HQ449669	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AAZ04782.1	DQ058661	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AAZ04783.1	DQ058662	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AAZ04784.1	DQ058663	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AAZ78355.1	DQ151889	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ACV83303.2	GQ463707	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ABC86904.1	DQ351241	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ABG56269.1	DQ631414	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ABS30107.1	EF653270	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
CAO82104.1	AM774474	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ABX72042.1	EU273755	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ABX72044.1	EU273757	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ABX72227.1	EU302865	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ABV66096.1	EU136183	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
CAP45902.1	AM919398	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
CAP45903.1	AM919399	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AGK90303.1	JX298080	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ABO93588.1	EF488762	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
BAG55487.1	AB379831	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ACM50952.1	FJ611948	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ACS71746.1	FJ981621	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ACS71747.1	FJ981622	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ADI46626.1	HM192542	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ADN94685.1	HQ172108	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AEH59666.1	HQ386846	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ADM52186.1	HM439641	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ADM52188.1	HM439643	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ADM52193.1	HM439649	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ABC17629.1	DQ303920	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ADM52194.1	HM439650	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ADQ43424.1	HQ418999	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AEL00450.1	JN173054	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AEL00451.1	JN173055	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AEL00452.1	JN173056	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AEL00456.1	JN173057	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AEL00458.1	JN173058	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AEL00459.1	JN173059	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AEL00461.1	JN173060	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ABC17630.2	DQ303921	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AEL31271.1	JN166689	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AEL31272.1	JN166690	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AEQ94272.1	JN680743	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AFA52643.1	JQ349151	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AFA52645.1	JQ349153	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AFA52644.1	JQ349152	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ADW54092.1	HQ704413	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AFU25658.1	JX440358	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AFH88686.1	JQ762640	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AFD54601.1	JQ582718	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
ABC17628.1	DQ303919	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
AFU25656.1	JX440357	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
CCI51002.2	HE820727	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
